pr_number,lines_of_code_changed,number_of_files_changed,labels,number_of_assignees,number_of_linked_issues,time_since_last_commit,issue_text,number_of_reviews_requested,number_of_milestones,dependency_changes,number_of_commits,test_coverage,repo,issue_text_wordiness,label_count,Issue Lifetime,day_of_week,weekday,Author PRs Opened,Open PRs at Open Date,Issues Closed in Last 2 Weeks,Issues Opened in Last 2 Weeks
7308,9,2,[],0,0,9493.363903,,0,0,False,1,,1,0,0,1,1,1,27,2,43,41
7303,9,1,[],0,0,13512.070402,,0,0,False,1,,1,0,0,1,1,1,26,3,41,41
7301,40,1,[],0,0,11642.102624,resolves,0,0,False,2,,1,2,0,2,1,1,25,1,42,39
7288,12,3,[],0,0,92093.184657,,0,0,False,1,,1,0,0,2,0,1,6,1,38,36
7295,2,1,[],0,0,23373.188585,,0,0,False,1,,1,0,0,2,1,1,24,2,40,37
7286,4,1,[],1,0,99647.21806,resolves bump upload download artifact build action versions for actions missed in the previous pr use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,1,0,False,1,,1,101,0,2,0,1,23,4,40,39
7296,13,2,[],0,0,23542.236599,,0,0,False,1,,1,0,0,1,1,1,20,3,39,38
7267,116,10,[],0,0,11952.301069,resolves,0,0,False,3,,1,2,0,3,4,1,22,1,41,33
7302,905,72,[],0,0,13990.054762,,0,0,False,5,,1,0,0,1,1,1,25,2,40,40
7294,132,1,[],0,0,23637.165902,update polish translation major fixes translated pitch names fixed all strings translations greetings gootector resolves direct link to the issue short description of the changes and the motivation to make the changes use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,0,0,False,1,,1,120,0,2,0,1,7,1,38,36
